id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penderita,satuan,tahun,jenis_penderita
46,32,JAWA BARAT,3271,KOTA BOGOR,53635.0,ORANG,2020,Hipertensi
47,32,JAWA BARAT,3272,KOTA SUKABUMI,60271.0,ORANG,2020,Hipertensi
48,32,JAWA BARAT,3273,KOTA BANDUNG,132662.0,ORANG,2020,Hipertensi
49,32,JAWA BARAT,3274,KOTA CIREBON,136633.0,ORANG,2020,Hipertensi
50,32,JAWA BARAT,3275,KOTA BEKASI,72189.0,ORANG,2020,Hipertensi
51,32,JAWA BARAT,3276,KOTA DEPOK,139331.0,ORANG,2020,Hipertensi
52,32,JAWA BARAT,3277,KOTA CIMAHI,66240.0,ORANG,2020,Hipertensi
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,63385.0,ORANG,2020,Hipertensi
54,32,JAWA BARAT,3279,KOTA BANJAR,13090.0,ORANG,2020,Hipertensi
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,986323.0,ORANG,2021,Hipertensi
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,471373.0,ORANG,2021,Hipertensi
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,134573.0,ORANG,2021,Hipertensi
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,111504.0,ORANG,2021,Hipertensi
59,32,JAWA BARAT,3205,KABUPATEN GARUT,255443.0,ORANG,2021,Hipertensi
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,86176.0,ORANG,2021,Hipertensi
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,136437.0,ORANG,2021,Hipertensi
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,75272.0,ORANG,2021,Hipertensi
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,73173.0,ORANG,2021,Hipertensi
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,127852.0,ORANG,2021,Hipertensi
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,244911.0,ORANG,2021,Hipertensi
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,302830.0,ORANG,2021,Hipertensi
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,117010.0,ORANG,2021,Hipertensi
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,138881.0,ORANG,2021,Hipertensi
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,337541.0,ORANG,2021,Hipertensi
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,62507.0,ORANG,2021,Hipertensi
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,73240.0,ORANG,2021,Hipertensi
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,84412.0,ORANG,2021,Hipertensi
